,0-LowBehavior,0-Susceptible,0-Asymptomatic_Inf,0-Symptomatic_Inf,0-Total_Inf,0-Recovered,0-Dead,0.1-LowBehavior,0.1-Susceptible,0.1-Asymptomatic_Inf,0.1-Symptomatic_Inf,0.1-Total_Inf,0.1-Recovered,0.1-Dead,0.2-LowBehavior,0.2-Susceptible,0.2-Asymptomatic_Inf,0.2-Symptomatic_Inf,0.2-Total_Inf,0.2-Recovered,0.2-Dead,0.3-LowBehavior,0.3-Susceptible,0.3-Asymptomatic_Inf,0.3-Symptomatic_Inf,0.3-Total_Inf,0.3-Recovered,0.3-Dead,0.4-LowBehavior,0.4-Susceptible,0.4-Asymptomatic_Inf,0.4-Symptomatic_Inf,0.4-Total_Inf,0.4-Recovered,0.4-Dead,0.5-LowBehavior,0.5-Susceptible,0.5-Asymptomatic_Inf,0.5-Symptomatic_Inf,0.5-Total_Inf,0.5-Recovered,0.5-Dead,0.6-LowBehavior,0.6-Susceptible,0.6-Asymptomatic_Inf,0.6-Symptomatic_Inf,0.6-Total_Inf,0.6-Recovered,0.6-Dead,0.7-LowBehavior,0.7-Susceptible,0.7-Asymptomatic_Inf,0.7-Symptomatic_Inf,0.7-Total_Inf,0.7-Recovered,0.7-Dead,0.8-LowBehavior,0.8-Susceptible,0.8-Asymptomatic_Inf,0.8-Symptomatic_Inf,0.8-Total_Inf,0.8-Recovered,0.8-Dead,0.9-LowBehavior,0.9-Susceptible,0.9-Asymptomatic_Inf,0.9-Symptomatic_Inf,0.9-Total_Inf,0.9-Recovered,0.9-Dead,1-LowBehavior,1-Susceptible,1-Asymptomatic_Inf,1-Symptomatic_Inf,1-Total_Inf,1-Recovered,1-Dead
89,5.5,2487,1,0,1,77044,468,5.5,2476,0,0,0,77045,479,5.5,2526,1,0,1,77003,470,5.5,2578,1,1,2,76940,480,5.5,2561,1,0,1,77004,434,5.5,2529,1,0,1,77003,467,5.5,2456,0,0,0,77055,489,5.5,2462,2,0,2,77070,466,5.5,2497,0,0,0,77022,481,5.5,2531,4,0,4,77011,454,5.5,2475,0,0,0,77077,448
90,5.5,2487,1,0,1,77044,468,5.5,2476,0,0,0,77045,479,5.5,2526,1,0,1,77003,470,5.5,2578,1,0,1,76941,480,5.5,2561,1,0,1,77004,434,5.5,2529,0,0,0,77004,467,5.5,2456,0,0,0,77055,489,5.5,2462,2,0,2,77070,466,5.5,2497,0,0,0,77022,481,5.5,2531,4,0,4,77011,454,5.5,2475,0,0,0,77077,448
91,5.5,2487,0,0,0,77045,468,5.5,2476,0,0,0,77045,479,5.5,2526,0,0,0,77004,470,5.5,2578,1,0,1,76941,480,5.5,2561,0,0,0,77005,434,5.5,2529,0,0,0,77004,467,5.5,2456,0,0,0,77055,489,5.5,2462,1,0,1,77071,466,5.5,2497,0,0,0,77022,481,5.5,2531,3,0,3,77012,454,5.5,2475,0,0,0,77077,448
92,5.5,2487,0,0,0,77045,468,5.5,2476,0,0,0,77045,479,5.5,2526,0,0,0,77004,470,5.5,2578,1,0,1,76941,480,5.5,2561,0,0,0,77005,434,5.5,2529,0,0,0,77004,467,5.5,2456,0,0,0,77055,489,5.5,2462,0,0,0,77072,466,5.5,2497,0,0,0,77022,481,5.5,2531,3,0,3,77012,454,5.5,2475,0,0,0,77077,448
93,5.5,2487,0,0,0,77045,468,5.5,2476,0,0,0,77045,479,5.5,2526,0,0,0,77004,470,5.5,2578,1,0,1,76941,480,5.5,2561,0,0,0,77005,434,5.5,2529,0,0,0,77004,467,5.5,2456,0,0,0,77055,489,5.5,2462,0,0,0,77072,466,5.5,2497,0,0,0,77022,481,5.5,2531,3,0,3,77012,454,5.5,2475,0,0,0,77077,448
94,5.5,2487,0,0,0,77045,468,5.5,2476,0,0,0,77045,479,5.5,2526,0,0,0,77004,470,5.5,2578,1,0,1,76941,480,5.5,2561,0,0,0,77005,434,5.5,2529,0,0,0,77004,467,5.5,2456,0,0,0,77055,489,5.5,2462,0,0,0,77072,466,5.5,2497,0,0,0,77022,481,5.5,2531,3,0,3,77012,454,5.5,2475,0,0,0,77077,448
95,5.5,2487,0,0,0,77045,468,5.5,2476,0,0,0,77045,479,5.5,2526,0,0,0,77004,470,5.5,2578,1,0,1,76941,480,5.5,2561,0,0,0,77005,434,5.5,2529,0,0,0,77004,467,5.5,2456,0,0,0,77055,489,5.5,2462,0,0,0,77072,466,5.5,2497,0,0,0,77022,481,5.5,2531,3,0,3,77012,454,5.5,2475,0,0,0,77077,448
96,5.5,2487,0,0,0,77045,468,5.5,2476,0,0,0,77045,479,5.5,2526,0,0,0,77004,470,5.5,2578,1,0,1,76941,480,5.5,2561,0,0,0,77005,434,5.5,2529,0,0,0,77004,467,5.5,2456,0,0,0,77055,489,5.5,2462,0,0,0,77072,466,5.5,2497,0,0,0,77022,481,5.5,2531,3,0,3,77012,454,5.5,2475,0,0,0,77077,448
97,5.5,2487,0,0,0,77045,468,5.5,2476,0,0,0,77045,479,5.5,2526,0,0,0,77004,470,5.5,2578,1,0,1,76941,480,5.5,2561,0,0,0,77005,434,5.5,2529,0,0,0,77004,467,5.5,2456,0,0,0,77055,489,5.5,2462,0,0,0,77072,466,5.5,2497,0,0,0,77022,481,5.5,2531,3,0,3,77012,454,5.5,2475,0,0,0,77077,448
98,5.5,2487,0,0,0,77045,468,5.5,2476,0,0,0,77045,479,5.5,2526,0,0,0,77004,470,5.5,2578,1,0,1,76941,480,5.5,2561,0,0,0,77005,434,5.5,2529,0,0,0,77004,467,5.5,2456,0,0,0,77055,489,5.5,2462,0,0,0,77072,466,5.5,2497,0,0,0,77022,481,5.5,2531,3,0,3,77012,454,5.5,2475,0,0,0,77077,448
99,5.5,2487,0,0,0,77045,468,5.5,2476,0,0,0,77045,479,5.5,2526,0,0,0,77004,470,5.5,2578,1,0,1,76941,480,5.5,2561,0,0,0,77005,434,5.5,2529,0,0,0,77004,467,5.5,2456,0,0,0,77055,489,5.5,2462,0,0,0,77072,466,5.5,2497,0,0,0,77022,481,5.5,2531,2,0,2,77013,454,5.5,2475,0,0,0,77077,448
